99553,Akutan,AK,Alaska
99571,Cold Bay,AK,Alaska
99583,False Pass,AK,Alaska
99612,King Cove,AK,Alaska
99661,Sand Point,AK,Alaska
99546,Adak,AK,Alaska
99547,Atka,AK,Alaska
99591,Saint George Island,AK,Alaska
99638,Nikolski,AK,Alaska
99660,Saint Paul Island,AK,Alaska
99685,Unalaska,AK,Alaska
99692,Dutch Harbor,AK,Alaska
99501,Anchorage,AK,Alaska
99502,Anchorage,AK,Alaska
99503,Anchorage,AK,Alaska
99504,Anchorage,AK,Alaska
99505,Jber,AK,Alaska
99506,Jber,AK,Alaska
99507,Anchorage,AK,Alaska
99508,Anchorage,AK,Alaska
99509,Anchorage,AK,Alaska
99510,Anchorage,AK,Alaska
99511,Anchorage,AK,Alaska
99513,Anchorage,AK,Alaska
99514,Anchorage,AK,Alaska
99515,Anchorage,AK,Alaska
99516,Anchorage,AK,Alaska
99517,Anchorage,AK,Alaska
99518,Anchorage,AK,Alaska
99519,Anchorage,AK,Alaska
99520,Anchorage,AK,Alaska
99521,Anchorage,AK,Alaska
99522,Anchorage,AK,Alaska
99523,Anchorage,AK,Alaska
99524,Anchorage,AK,Alaska
99529,Anchorage,AK,Alaska
99530,Anchorage,AK,Alaska
99540,Indian,AK,Alaska
99567,Chugiak,AK,Alaska
99577,Eagle River,AK,Alaska
99587,Girdwood,AK,Alaska
99599,Anchorage,AK,Alaska
99695,Anchorage,AK,Alaska
99545,Kongiganak,AK,Alaska
99551,Akiachak,AK,Alaska
99552,Akiak,AK,Alaska
99557,Aniak,AK,Alaska
99559,Bethel,AK,Alaska
99561,Chefornak,AK,Alaska
99575,Crooked Creek,AK,Alaska
99578,Eek,AK,Alaska
99589,Goodnews Bay,AK,Alaska
99607,Kalskag,AK,Alaska
99609,Kasigluk,AK,Alaska
99614,Kipnuk,AK,Alaska
99621,Kwethluk,AK,Alaska
99622,Kwigillingok,AK,Alaska
99626,Lower Kalskag,AK,Alaska
99630,Mekoryuk,AK,Alaska
99634,Napakiak,AK,Alaska
99637,Toksook Bay,AK,Alaska
99641,Nunapitchuk,AK,Alaska
99651,Platinum,AK,Alaska
99655,Quinhagak,AK,Alaska
99656,Red Devil,AK,Alaska
99668,Sleetmute,AK,Alaska
99679,Tuluksak,AK,Alaska
99680,Tuntutuliak,AK,Alaska
99681,Tununak,AK,Alaska
99690,Nightmute,AK,Alaska
99613,King Salmon,AK,Alaska
99633,Naknek,AK,Alaska
99670,South Naknek,AK,Alaska
99574,Cordova,AK,Alaska
99677,Tatitlek,AK,Alaska
99686,Valdez,AK,Alaska
99693,Whittier,AK,Alaska
99566,Chitina,AK,Alaska
99573,Copper Center,AK,Alaska
99586,Gakona,AK,Alaska
99588,Glennallen,AK,Alaska
99704,Clear,AK,Alaska
99729,Cantwell,AK,Alaska
99743,Healy,AK,Alaska
99744,Anderson,AK,Alaska
99755,Denali National Park,AK,Alaska
99555,Aleknagik,AK,Alaska
99569,Clarks Point,AK,Alaska
99576,Dillingham,AK,Alaska
99580,Ekwok,AK,Alaska
99628,Manokotak,AK,Alaska
99636,New Stuyahok,AK,Alaska
99678,Togiak,AK,Alaska
99701,Fairbanks,AK,Alaska
99702,Eielson Afb,AK,Alaska
99703,Fort Wainwright,AK,Alaska
99705,North Pole,AK,Alaska
99706,Fairbanks,AK,Alaska
99707,Fairbanks,AK,Alaska
99708,Fairbanks,AK,Alaska
99709,Fairbanks,AK,Alaska
99710,Fairbanks,AK,Alaska
99711,Fairbanks,AK,Alaska
99712,Fairbanks,AK,Alaska
99714,Salcha,AK,Alaska
99716,Two Rivers,AK,Alaska
99725,Ester,AK,Alaska
99775,Fairbanks,AK,Alaska
99790,Fairbanks,AK,Alaska
99827,Haines,AK,Alaska
99820,Angoon,AK,Alaska
99825,Elfin Cove,AK,Alaska
99826,Gustavus,AK,Alaska
99829,Hoonah,AK,Alaska
99832,Pelican,AK,Alaska
99841,Tenakee Springs,AK,Alaska
99801,Juneau,AK,Alaska
99802,Juneau,AK,Alaska
99803,Juneau,AK,Alaska
99811,Juneau,AK,Alaska
99812,Juneau,AK,Alaska
99821,Auke Bay,AK,Alaska
99824,Douglas,AK,Alaska
99850,Juneau,AK,Alaska
99556,Anchor Point,AK,Alaska
99568,Clam Gulch,AK,Alaska
99572,Cooper Landing,AK,Alaska
99603,Homer,AK,Alaska
99605,Hope,AK,Alaska
99610,Kasilof,AK,Alaska
99611,Kenai,AK,Alaska
99631,Moose Pass,AK,Alaska
99635,Nikiski,AK,Alaska
99639,Ninilchik,AK,Alaska
99663,Seldovia,AK,Alaska
99664,Seward,AK,Alaska
99669,Soldotna,AK,Alaska
99672,Sterling,AK,Alaska
99682,Tyonek,AK,Alaska
99901,Ketchikan,AK,Alaska
99928,Ward Cove,AK,Alaska
99950,Ketchikan,AK,Alaska
99550,Port Lions,AK,Alaska
99608,Karluk,AK,Alaska
99615,Kodiak,AK,Alaska
99619,Kodiak,AK,Alaska
99624,Larsen Bay,AK,Alaska
99643,Old Harbor,AK,Alaska
99644,Ouzinkie,AK,Alaska
99697,Kodiak,AK,Alaska
99554,Alakanuk,AK,Alaska
99563,Chevak,AK,Alaska
99581,Emmonak,AK,Alaska
99585,Marshall,AK,Alaska
99604,Hooper Bay,AK,Alaska
99620,Kotlik,AK,Alaska
99632,Mountain Village,AK,Alaska
99650,Pilot Station,AK,Alaska
99657,Russian Mission,AK,Alaska
99658,Saint Marys,AK,Alaska
99662,Scammon Bay,AK,Alaska
99666,Nunam Iqua,AK,Alaska
99548,Chignik Lake,AK,Alaska
99549,Port Heiden,AK,Alaska
99564,Chignik,AK,Alaska
99565,Chignik Lagoon,AK,Alaska
99579,Egegik,AK,Alaska
99606,Iliamna,AK,Alaska
99625,Levelock,AK,Alaska
99640,Nondalton,AK,Alaska
99647,Pedro Bay,AK,Alaska
99648,Perryville,AK,Alaska
99649,Pilot Point,AK,Alaska
99653,Port Alsworth,AK,Alaska
99623,Wasilla,AK,Alaska
99629,Wasilla,AK,Alaska
99645,Palmer,AK,Alaska
99652,Big Lake,AK,Alaska
99654,Wasilla,AK,Alaska
99667,Skwentna,AK,Alaska
99674,Sutton,AK,Alaska
99676,Talkeetna,AK,Alaska
99683,Trapper Creek,AK,Alaska
99687,Wasilla,AK,Alaska
99688,Willow,AK,Alaska
99694,Houston,AK,Alaska
99659,Saint Michael,AK,Alaska
99671,Stebbins,AK,Alaska
99684,Unalakleet,AK,Alaska
99739,Elim,AK,Alaska
99742,Gambell,AK,Alaska
99753,Koyuk,AK,Alaska
99762,Nome,AK,Alaska
99769,Savoonga,AK,Alaska
99771,Shaktoolik,AK,Alaska
99772,Shishmaref,AK,Alaska
99778,Teller,AK,Alaska
99783,Wales,AK,Alaska
99784,White Mountain,AK,Alaska
99785,Brevig Mission,AK,Alaska
99721,Anaktuvuk Pass,AK,Alaska
99723,Barrow,AK,Alaska
99734,Prudhoe Bay,AK,Alaska
99747,Kaktovik,AK,Alaska
99759,Point Lay,AK,Alaska
99766,Point Hope,AK,Alaska
99782,Wainwright,AK,Alaska
99789,Nuiqsut,AK,Alaska
99791,Atqasuk,AK,Alaska
99727,Buckland,AK,Alaska
99736,Deering,AK,Alaska
99749,Kiana,AK,Alaska
99750,Kivalina,AK,Alaska
99751,Kobuk,AK,Alaska
99752,Kotzebue,AK,Alaska
99761,Noatak,AK,Alaska
99763,Noorvik,AK,Alaska
99770,Selawik,AK,Alaska
99773,Shungnak,AK,Alaska
99786,Ambler,AK,Alaska
99830,Kake,AK,Alaska
99833,Petersburg,AK,Alaska
99836,Port Alexander,AK,Alaska
99903,Meyers Chuck,AK,Alaska
99918,Coffman Cove,AK,Alaska
99919,Thorne Bay,AK,Alaska
99921,Craig,AK,Alaska
99922,Hydaburg,AK,Alaska
99923,Hyder,AK,Alaska
99925,Klawock,AK,Alaska
99926,Metlakatla,AK,Alaska
99927,Point Baker,AK,Alaska
99835,Sitka,AK,Alaska
99840,Skagway,AK,Alaska
99689,Yakutat,AK,Alaska
99731,Fort Greely,AK,Alaska
99732,Chicken,AK,Alaska
99737,Delta Junction,AK,Alaska
99738,Eagle,AK,Alaska
99764,Northway,AK,Alaska
99776,Tanacross,AK,Alaska
99780,Tok,AK,Alaska
99929,Wrangell,AK,Alaska
99558,Anvik,AK,Alaska
99590,Grayling,AK,Alaska
99602,Holy Cross,AK,Alaska
99627,Mc Grath,AK,Alaska
99665,Shageluk,AK,Alaska
99675,Takotna,AK,Alaska
99691,Nikolai,AK,Alaska
99720,Allakaket,AK,Alaska
99722,Arctic Village,AK,Alaska
99724,Beaver,AK,Alaska
99726,Bettles Field,AK,Alaska
99730,Central,AK,Alaska
99733,Circle,AK,Alaska
99740,Fort Yukon,AK,Alaska
99741,Galena,AK,Alaska
99745,Hughes,AK,Alaska
99746,Huslia,AK,Alaska
99748,Kaltag,AK,Alaska
99754,Koyukuk,AK,Alaska
99756,Manley Hot Springs,AK,Alaska
99757,Lake Minchumina,AK,Alaska
99758,Minto,AK,Alaska
99760,Nenana,AK,Alaska
99765,Nulato,AK,Alaska
99767,Rampart,AK,Alaska
99768,Ruby,AK,Alaska
99774,Stevens Village,AK,Alaska
99777,Tanana,AK,Alaska
99781,Venetie,AK,Alaska
99788,Chalkyitsik,AK,Alaska
36003,Autaugaville,AL,Alabama
36006,Billingsley,AL,Alabama
36008,Booth,AL,Alabama
36051,Marbury,AL,Alabama
36066,Prattville,AL,Alabama
36067,Prattville,AL,Alabama
36068,Prattville,AL,Alabama
36749,Jones,AL,Alabama
36507,Bay Minette,AL,Alabama
36511,Bon Secour,AL,Alabama
36526,Daphne,AL,Alabama
36527,Spanish Fort,AL,Alabama
36530,Elberta,AL,Alabama
36532,Fairhope,AL,Alabama
36533,Fairhope,AL,Alabama
36535,Foley,AL,Alabama
36536,Foley,AL,Alabama
36542,Gulf Shores,AL,Alabama
36547,Gulf Shores,AL,Alabama
36549,Lillian,AL,Alabama
36550,Little River,AL,Alabama
